Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Joswal Gago ,20,26,12,9,18,5,3,0,1,15,16,14,0,49,346
Cristopher Morales ,20,29,7,10,8,6,1,2,2,21,18,12,0,43,345
Jhoel Pastrano ,19,26,10,5,9,0,3,1,0,10,7,11,0,35,192
Abraham Pericana ,17,22,14,9,12,7,5,1,0,16,14,10,0,41,409
Allan Lara ,17,24,13,8,11,0,1,1,2,17,10,13,0,35,333
Victor Gamardo ,16,22,11,6,15,1,3,0,0,9,6,12,0,38,273
Cesar Guevara ,15,19,9,1,10,2,0,0,0,1,2,17,0,31,53
Wladimir Blanco ,15,13,3,0,8,3,0,0,0,0,2,12,0,24,0
Deiner Parejo ,14,17,4,0,2,2,0,0,0,0,1,17,0,21,0
Mariano Pastrano ,14,13,5,0,6,2,0,0,0,0,1,13,0,21,0
Joel Arrieche ,13,11,3,2,9,0,0,0,0,2,4,8,0,20,182
Jesed Villafranca ,12,17,4,3,8,1,1,0,0,4,3,8,0,26,176
Samuel Lozada ,11,22,0,2,0,0,0,0,0,2,4,16,0,22,91
James Villafranca ,8,4,2,0,4,2,0,0,0,0,0,4,0,10,0
Isaac Caldea ,6,7,3,1,4,3,0,0,0,1,2,3,0,14,143
Angelo Oliveros ,3,6,1,2,0,0,0,0,0,2,0,3,0,6,333
Luciano Pacheco ,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0
Arnoldo Coronado ,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0
Angel Mendez ,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
