Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Jonath Jimenez ,16,20,10,6,11,5,0,0,1,9,11,11,0,36,300
Jorge Guatarama ,15,25,5,6,11,1,0,0,0,6,8,17,0,37,240
Victor Figueroa ,15,21,15,7,14,2,5,0,0,12,9,7,0,37,333
Enmanuel Landaeta ,15,17,7,3,17,1,0,1,1,8,8,14,0,35,176
Manuel Guanare ,15,20,5,2,9,3,1,0,0,3,3,15,0,32,100
Oscar Duran ,15,13,7,0,11,2,0,0,0,0,1,13,0,26,0
Jhosua Freites ,15,10,6,0,9,1,0,0,0,0,3,9,0,20,0
Williams Alfaro ,14,19,4,8,11,2,1,0,0,9,6,9,0,32,421
Victor Herrera ,14,12,7,0,14,1,0,0,0,0,3,11,0,27,0
Gustavo Estrada ,11,18,2,0,5,2,0,0,0,0,3,15,0,25,0
Matias Molinet ,9,10,1,0,2,1,0,0,0,0,2,10,0,13,0
Diover Luna ,4,8,1,1,1,0,0,0,0,1,1,6,0,9,125
Mathias Arcia ,4,6,1,0,0,1,0,0,0,0,0,5,0,7,0
Gustavo Gonzalez ,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0
Oscar Cordova ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
