Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Azael Velasquez ,16,35,19,19,8,2,8,1,0,29,20,7,0,45,543
Victor Lopez ,16,30,17,13,12,1,2,0,1,18,17,11,0,43,433
Josue Figueroa ,16,29,14,15,7,2,6,1,0,23,14,8,0,38,517
Manuel Narvaez ,15,30,27,23,9,5,4,1,2,35,23,2,0,44,767
Ramnces Jimenez ,15,27,16,5,11,2,1,0,0,6,5,17,0,40,185
Christiano Velasquez ,15,16,9,0,14,1,0,0,0,0,7,16,0,31,0
Ethan Roman ,14,21,16,4,18,1,2,0,0,6,10,14,0,40,190
Yhonny Brito ,12,9,8,0,10,2,0,0,0,0,5,9,0,21,0
Francisco Caldona ,11,14,9,4,8,1,2,0,0,6,11,9,0,23,286
Moises Perez ,10,19,2,0,4,2,0,0,0,0,1,19,0,25,0
Jeshua Ramirez ,9,15,3,5,3,2,0,1,0,7,4,9,0,20,333
Bryan Cardozo ,8,3,4,0,11,1,0,0,0,0,3,3,0,15,0
Diego Meza ,5,8,1,0,0,1,0,0,0,0,1,8,0,9,0
Darwin Colina ,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0
