Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Fabrizio Lozada ,14,24,11,9,5,0,1,0,0,10,3,7,14,29,375
Juan Gudi�o ,13,32,21,13,6,1,4,1,0,19,17,5,10,39,406
Mario Alvino ,13,27,17,13,9,0,1,3,1,23,15,5,15,37,481
Ignacio Rodriguez ,13,22,12,7,10,0,1,1,0,10,7,6,5,32,318
Samuel Mujica ,13,26,14,14,4,1,3,0,1,20,12,6,12,31,538
Mauricio Marval ,13,22,9,7,8,0,2,0,0,9,2,8,9,30,318
Giuseppe Anselmetti ,13,19,8,7,3,6,2,0,0,9,0,5,7,28,368
Alan Pimentel ,13,16,11,3,10,1,0,0,0,3,3,8,7,27,188
Matias Huchet ,12,23,14,13,7,0,3,3,2,28,19,3,11,31,565
Anthony Rodriguez ,12,13,8,7,5,1,0,0,1,10,7,6,6,19,538
Andres Canova ,11,15,7,2,7,0,0,0,0,2,1,10,4,22,133
Henry Brice�o ,11,10,8,1,6,4,0,0,0,1,2,5,2,20,100
Ale Bzeih ,8,13,6,2,3,1,0,0,0,2,1,9,4,17,154
Dereck Cordova ,8,12,5,5,2,3,1,0,0,6,4,6,4,17,417
Juan Martinez ,7,11,4,3,3,0,0,0,0,3,0,6,4,14,273
Daniel Veliz ,7,8,4,0,3,0,0,0,0,0,0,7,3,11,0
Franko Maza ,6,4,9,1,7,3,0,0,0,1,2,3,10,15,250
