Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
1,3,11,17,9,5,2,3,0,0,12,4,7,5,34,333
Juan Ivimas ,17,28,12,12,4,1,4,0,0,16,9,8,3,33,429
Cristian Navarro ,17,26,13,16,7,0,3,0,0,19,9,6,3,33,615
Enrique Valles ,16,25,9,8,6,3,3,0,0,11,11,5,1,34,320
Moises Presilla ,16,25,15,11,5,1,2,3,0,19,9,2,6,31,440
Matheo Rodriguez ,16,23,13,10,8,0,2,0,0,12,8,5,6,31,435
Diego Contreras ,15,20,11,9,9,1,3,0,0,12,11,3,6,30,450
Jeremias Martinez ,15,23,8,8,4,2,3,0,0,11,7,8,6,29,348
Antonio Delgado ,15,20,13,6,6,2,0,0,0,6,4,10,4,28,300
Alexis Fernandez ,15,14,10,5,10,2,0,0,0,5,1,5,5,26,357
Angel Bello ,15,21,10,6,3,1,2,0,0,8,3,10,3,25,286
Guillermo Michelangelli ,14,23,11,6,3,0,0,0,0,6,8,6,5,26,261
Daniel Salazar ,14,21,9,8,4,0,4,0,1,15,8,8,2,25,381
Antonio Kouefati ,13,26,7,11,2,0,3,0,0,14,7,5,0,28,423
Guillermo Colina ,7,11,5,4,4,0,1,0,0,5,2,3,3,15,364
