Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Juan Alcala ,16,22,5,4,3,0,0,0,0,4,2,10,2,25,182
Jesus Contreras ,16,12,5,0,9,2,0,0,0,0,0,12,5,23,0
Oliver Quevedo ,15,15,1,2,2,0,1,0,0,3,1,11,3,17,133
Jose Arcia ,15,13,4,0,4,0,0,0,0,0,0,12,0,17,0
Dylan Ortega ,14,12,5,1,1,2,1,0,0,2,1,5,5,15,83
Juan Vasquez ,14,11,4,2,2,2,2,0,0,4,0,8,5,15,182
Jose Perdomo ,14,10,4,3,5,0,0,0,0,3,1,7,4,15,300
Fermin Martinez ,12,19,4,7,0,1,1,0,0,8,2,2,5,20,368
Adrian Estaba ,12,15,0,0,0,0,0,0,0,0,0,12,0,15,0
Abrahan Rodriguez ,12,8,2,0,5,1,0,0,0,0,1,6,1,14,0
Adrian Gamboa ,12,7,3,0,7,0,0,0,0,0,0,7,5,14,0
Matias Quintero ,12,9,1,0,2,0,0,0,0,0,0,9,1,11,0
Fabian Sanchez ,11,12,1,2,1,0,0,0,0,2,0,7,1,13,167
Julian Marcano ,5,2,0,0,1,1,0,0,0,0,0,2,2,4,0
Martin Santana ,5,1,3,0,3,0,0,0,0,0,0,1,1,4,0
Simon Aguilera ,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0
Juan Martinez ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
