Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Omar Perez ,18,34,18,12,11,2,8,1,0,22,10,9,8,47,353
Luis Chirinos ,18,36,18,15,3,2,7,0,3,31,16,8,3,41,417
Anthony Morales ,17,24,18,8,11,4,3,1,0,13,8,8,12,39,333
Mathias Guzman ,17,20,11,5,15,2,3,0,0,8,6,11,11,37,250
Jose Bello ,17,22,12,6,10,3,2,0,0,8,6,12,8,35,273
Ian Vilera ,17,24,10,5,7,0,2,0,0,7,8,11,2,31,208
Alonso Casale ,16,30,7,6,7,1,2,1,1,13,9,11,1,38,200
Angel Rios ,16,25,18,11,7,3,5,0,1,19,12,7,7,35,440
Aaron Sampallo ,15,18,8,6,4,6,3,0,0,9,6,9,2,28,333
Juan Clavier ,15,22,9,5,3,2,0,0,0,5,3,10,2,27,227
Miguel Barrolleta ,15,20,4,4,1,0,2,0,1,9,5,10,1,21,200
Cristopher Ramirez ,14,16,10,5,7,0,1,1,0,8,7,7,4,23,313
Adrian Farias ,14,13,9,3,6,2,0,0,0,3,1,9,1,21,231
Andres Graterol ,13,31,17,16,5,0,8,0,0,24,11,3,6,36,516
Sebastian Parucho ,7,16,7,3,4,0,1,0,0,4,2,8,3,20,188
