Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Esteban Mota ,12,18,9,8,13,1,0,0,0,8,0,5,10,33,444
Carlos Maraima ,12,27,11,10,4,1,2,1,1,17,14,9,11,32,370
Jobeth Velasquez ,12,18,1,1,3,2,0,0,0,1,1,14,0,23,56
Maickel Febres ,11,27,15,13,3,1,7,0,0,20,14,7,12,32,481
Allan Chaguan ,11,16,11,4,12,2,1,1,0,7,8,6,9,30,250
Luis Urbano ,11,16,10,5,10,2,0,0,1,8,5,8,11,28,313
Mateo Gonzalez ,11,15,4,0,7,2,0,0,0,0,0,11,0,24,0
Christian Quintal ,10,23,10,7,9,0,2,1,0,11,6,5,9,32,304
Oliver Hernandez ,10,12,6,1,8,1,0,0,0,1,1,10,2,21,83
Jesus Polanco ,10,13,2,0,4,0,0,0,0,0,1,13,2,17,0
Yubian Guaina ,9,18,7,4,5,0,0,0,0,4,2,6,8,23,222
Abraham Hurtado ,6,9,3,3,3,0,1,0,0,4,2,4,3,12,333
Jonas Espa�a ,3,2,1,0,2,0,0,0,0,0,0,2,2,4,0
