Jugador,JJ,VB,CA,HC,BB,GP,H2,H3,HR,BA,CI,SO,BR,AL,AVE
Sebastian Bola�o ,17,40,21,22,13,1,7,2,0,33,25,4,21,54,550
Mauricio Velasquez ,17,42,34,24,8,2,7,2,0,35,18,3,34,53,571
Danel Perfecto ,17,28,12,8,6,3,1,0,0,9,5,8,10,37,286
Santiago Patete ,17,28,11,8,5,4,3,0,1,14,9,11,6,37,286
Thomas Gonzalez ,16,37,17,14,8,1,5,2,0,23,10,8,15,47,378
Asdrubal Malpa ,16,29,21,8,15,0,4,0,1,15,10,8,18,44,276
Daniel Hidalgo ,16,23,13,13,12,0,5,0,0,18,14,4,5,35,565
Samuel Ortiz ,16,22,9,4,10,3,0,0,0,4,3,12,8,35,182
Lussiano Sucre ,15,29,8,7,9,0,2,1,0,11,11,15,6,39,241
Mathias Marquez ,15,23,10,5,10,0,2,0,0,7,5,13,3,33,217
Emanuel Noriega ,15,24,5,5,8,0,1,0,0,6,5,9,2,32,208
Carlos Rodriguez ,13,21,11,7,9,1,2,0,0,9,9,8,3,31,333
Cesar Medina ,4,10,5,6,2,0,4,0,0,10,3,1,3,12,600
Luis Reyes ,4,6,5,2,5,0,0,0,0,2,4,1,5,11,333
