,,,,04/28/23,,,,,
,DIA,HOME CLUB,,VISITANTE,,CATEGORIA,GRUPO,HORA,
,VIERNES,ESCORPIONES,8,JUVENCIO A,10,PREINFANTIL,A,2:00 pm.,ROGELIO CARABALLO
,,MELLIZOS B,10,ESCORPIONES,3,PREPARATORIO,B,20 md,ROGELIO CARABALLO
,,TIGRITOS A,14,MELLIZOS,13,COMPOTA,B,400 pm,ROGELIO CARABALLO
,,MELLIZOS,0,TIGRITOS A,12,INFANTIL,B,2:00 PM,FUNDACION
,,JUVENCIO A,15,BRAVOS B,11,INFANTIL,A,20 md,FUNDACION
,,CAPITANES B,6,COCODRILOS A,16,PREINFANTIL,A,2:00 PM,RIVERO VILLAROEL
,,TIGRITOS C,13,GIGANTES,3,PREINFANTIL,A,20 md,RIVERO VILLAROEL
,,NEW ASTROS,19,CAPITANES B,15,COMPOTA,A,4:00 PM,RIVERO VILLAROEL
