,,,,,,,,
,,,FECHA,,4/30/2023,,,
,DOMINGO,MELLIZOS B,0,TIGRITOS A,7,PREPARATORIO,B,8:30 am,FUNDACION
,,MELLIZOS,3,ANGELES,18,COMPOTA,B,8:30 am,FUNDACION
,,MELLIZOS A,13,TIGRITOS A,3,PREINFANTIL,B,20 md,FUNDACION
,,MELLIZOS B,17,BRAVOS,9,PREINFANTIL,B,20 md,FUNDACION
,,BRAVOS,12,COCODRILOS,4,PREPARATORIO,A,8:30 am,LA CARAQUENA
,,PIRATAS,10,CAPITANES,11,PREPARATORIO,A,20 md,LA CARAQUENA
,,COCODRILOS A,4,JUVENCIO A,14,PREINFANTIL,A,20 md,LA CARAQUENA
,,COCODRILOS B,2,TIGRITOS B,14,PREINFANTIL,B,20 md,LA CARAQUENA
,,CAPITANES B,4,TIGRITOS B,24,COMPOTA,A,8:30 am,RIVERO VILLAROEL
,,BRAVOS B,3,TIGRITOS A,19,COMPOTA,B,8:30 am,RIVERO VILLAROEL
,,BRAVOS A,19,NEW ASTROS,5,COMPOTA,A,8:30 am,RIVERO VILLAROEL
,,ESCORPIONES,11,JUVENCIO A,8,PREPARATORIO,B,20 md,RIVERO VILLAROEL
,,CAPITANES B,7,TIGRITOS C,17,PREINFANTIL,A,20 md,RIVERO VILLAROEL
