,,,,,,,,,
,,,,FECHA,,5/4/2023,,,
,JUEVES,ESCORPIONES,17,CAPITANES B,8,PREINFANTIL,A,1:30 PM,FUNDACION
,,ESCORPIONES,13,BRAVOS,4,PREPARATORIO,SEMIFINAL,20 md,FUNDACION
,,BRAVOS B,4,COCODRILOS,14,INFANTIL,A,1:30 PM,RIVERO VILLAROEL
,,TIGRITOS C,5,COCODRILOS A,19,PREINFANTIL,A,20 md,RIVERO VILLAROEL
,,PIRATAS A,9,MELLIZOS,22,INFANTIL,B,1:30 PM,ROGELIO CARABALLO
,,PIRATAS,9,TIGRITOS A,15,PREPARATORIO,SEMIFINAL,20 md,ROGELIO CARABALLO
,,TIGRITOS A,13,ANGELES,21,COMPOTA,B,4:00 PM,ROGELIO CARABALLO
,,JUVENCIO A,3,GIGANTES,12,PREINFANTIL,A,1:30 pm,BOYACA V
,,GIGANTES,8,JUVENCIO A,2,INFANTIL,B,20 md,BOYACA V
,,TIGRITOS B,12,BRAVOS,15,PREINFANTIL,B,1:30 pm,BOYACA II
,,BRAVOS A,17,TIGRITOS A,5,INFANTIL,B,20 md,BOYACA II
