,,,,,,,,,
,,NULO,,FECHA,,5/6/2023,,,
,SABADO,BRAVOS,15,PIRATAS,19,PREPARATORIO,SEMIFINAL,8:30 AM,BOYACA II
,,BRAVOS B,17,MELLIZOS,5,COMPOTA,B,8:30 AM,BOYACA II
,,BRAVOS,8,TIGRITOS A,12,PREINFANTIL,A,20 md,BOYACA II
,,MELLIZOS B,9,COCODRILOS B,13,PREINFANTIL,B,8:30 AM,FUNDACION
,,TIGRITOS A,14,ESCORPIONES,18,PREPARATORIO,SEMIFINAL,20 md,FUNDACION
,,MELLIZOS A,4,TIGRITOS B,15,PREINFANTIL,B,20 md,FUNDACION
,,BRAVOS B,2,GIGANTES,11,INFANTIL,A,8:30 AM,ROGELIO CARABALLO
,,TIGRITOS B,2,GIGANTES,5,PREJUNIOR,SEMIFINAL,20 md,ROGELIO CARABALLO
,,CAPITANES B,9,JUVENCIO A,14,PREINFANTIL,A,8:30 AM,RIVERO VILLAROEL
,,COCODRILOS,17,JUVENCIO A,4,INFANTIL,A,20 md,RIVERO VILLAROEL
,,BRAVOS,12,PIRATAS,5,PREJUNIOR,SEMIFINAL,20 md,RIVERO VILLAROEL
,,NEW ASTROS,9,TIGRITOS B,12,COMPOTA,A,4:00 pm,RIVERO VILLAROEL
,,BRAVOS A,8,CAPITANES B,18,COMPOTA,A,4:00 pm,RIVERO VILLAROEL
