,,,,FECHA,,4/27/2023,,,,,,
,DIA,HOME CLUB,,VISITANTE,,CATEGORIA,GRUPO,HORA,,,,
,JUEVES,MELLIZOS A,5,MELLIZOS B,17,PRE INFANTIL,B,200 pm,FUNDACION,,,
,,JUVENCIO A,4,MELLIZOS B,13,PREPARATORiA,B,20 MD,EUNDAC ION,,,
,,TIGRITOS A,14,PIRATAS A,4,INFANTIL,A,2-00 pm,RIVERO VILLAROEL,,,
,,T1GRITOS A,10,TIGRITOS B,30,PREINFANTIL,B,20 rnd,RIVERO VILLAROEL,,,
,,T1GRITOS B,22,BRAVOS A,9,COMPOTA,A,4:00 PM,RIVERO VILLAROEL,,,
,,COOODRILOS B,15,BRAVOS,9,PRE INFANTIL,B,2-00 pm,ROGELIO CARABALLO,,,
,,PIRATAS,10,COCODRI LOS,8,PREPARATORIA,A,20.md .,ROGELIO CARABALLO,,,
,,CAPITANES  ,12,BRAVOS,3,PREPARATORIA,A,2 00 pm.,BOYACA V,,,
,,ESCORPIONES,2,TIGRITOS A,8,PREPARATORIA,B,20 md,BOYACA V,,,
,,BRAVOS A,15,MELLIZOS,12,INFANTIL,B,2:00 PM,BOYACA II,,,
,,NEW ASTROS,5,CAPITANES B,17,COMPOTA,A,4:00 PM,BOYACA II,,,J
,,,,FECHA,,4/28/2023,,,,,,
,VIERNES,ESCORPIONES,8,JUVENCIO A,10,PREINFANTIL,A,2:00 pm.,ROGELIO CARABALLO,,,
,,MELLIZOS B,10,ESCORPIONES,3,PREPARATORIA,B,20 md,ROGELIO CARABALLO,,,
,,TIGRITOS A,14,MELLIZOS,13,COMPOTA,B,400 pm,ROGELIO CARABALLO,,,
,,MELLIZOS,0,TIGRITOS A,12,INFANTIL,B,2:00 PM,FUNDACION,,,
,,JUVENCIO A,15,BRAVOS B,11,INFANTIL,A,20 md,FUNDACION,,,
,,CAPITANES B,6,COCODRILOS A,16,PREINFANTIL,A,2:00 PM,RIVERO VILLAROEL,,,
,,TIGRITOS C,13,GIGANTES,3,PREINFANTIL,A,20 md,RIVERO VILLAROEL,,,
,,NEW ASTROS,19,CAPITANES B,15,COMPOTA,A,4:00 PM,RIVERO VILLAROEL,,,
,,,,FECHA,,4/29/2023,,,,,,
,SABADO,BRAVOS,12,PIRATAS,8,PREPARATORIA,A,8:30 am,BOYACA II,,,
"„ .,.",,PIRATAS A,13,BRAVOS A,9,INFANTIL,A,20 md,BOYACA II,,,
,,ANGELES,18,BRAVOS B,14,COMPOTA,B,8:30 AM,FUNDACION,,,
,,COCODRILOS ,15,CAPITANES  ,4,PREPARATORIA,A,20 md,FUNDACION,,,
._.,,COCODRILOS,11,GIGANTES,2,INFANTIL,A,20 md,FUNDACION,,,
,,GIGANTES ,5,ESCORPIONES,2,PREINFANTIL,A,9:00 AM,BOYACA V,,,
,,T1GRITOS A,14,COCODRILOS B,9,PREINFANTIL,B,8:30 AM,RIVERO VILLAROEL,,,
,,TIGRITOS B,4,MELLIZOS B,17,PREINFANTIL,B,20 md,RIVERO VILLAROEL,,,
,,BRAVOS,5,MELLIZOS A,12,PREINFANTIL,B,20 md,RIVERO VILLAROEL,,,
,,TIGRITOS A,12,JUVENCIO A,9,PREPARATORIA,B,20 md,RIVERO VILLAROEL,,,
,,TIGRITOS B,18,BRAVOS A,8,COMPOTA,A,4:00 pm,RIVERO VILLAROEL,,,
,,,,FECHA,,4/30/2023,,,,,,
,DOMINGO,MELLIZOS B,0,TIGRITOS A,7,PREPARATORIA,B,8:30 am,FUNDACION,,,
,,MELLIZOS,3,ANGELES,18,COMPOTA,B,8:30 am,FUNDACION,,,
,,MELLIZOS A,13,TIGRITOS A,3,PREINFANTIL,B,20 md,FUNDACION,,,
,,MELLIZOS B,17,BRAVOS,9,PREINFANTIL,B,20 md,FUNDACION,,,
,,BRAVOS ,12,COCODRILOS,4,PREPARATORIA,A,8:30 am,LA CARAQUENA,,,
,,PIRATAS,10,CAPITANES,11,PREPARATORIA,A,20 md,LA CARAQUENA,,,
,,COCODRILOS A,4,JUVENCIO A,14,PREINFANTIL,A,20 md,LA CARAQUENA,,,
,,COCODRILOS B,2,TIGRITOS B,14,PREINFANTIL,B,20 md,LA CARAQUENA,,,","
,,CAPITANES B,4,TIGRITOS B,24,COMPOTA,A,8:30 am,RIVERO VILLAROEL,,,
,,BRAVOS B,3,TIGRITOS A,19,COMPOTA,B,8:30 am,RIVERO VILLAROEL,,,
,,BRAVOS A,19,NEW ASTROS,5,COMPOTA,A,8:30 am,RIVERO VILLAROEL,,,
,,ESCORPIONES,11,JUVENCIO A,8,PREPARATORIA,B,20 md,RIVERO VILLAROEL,,,
,,CAPITANES B,7,TIGRITOS C,17,PREINFANTIL,A,20 md,RIVERO VILLAROEL,,,
